"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"409","","j","psychophysics","151","106674","0.0-4.0-1.45","response","J","true","key","j","16.686959999999964","500","400","Red","Red","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","152","107178","0.0-4.0-2.45","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","153","107688","0.0-4.0-0.46","fixation","","","","","","","","","","",""
"347","","j","psychophysics","154","108552","0.0-4.0-1.46","response","J","true","key","j","16.683952380952263","500","400","Red","Blue","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","155","109062","0.0-4.0-2.46","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","156","109573","0.0-4.0-0.47","fixation","","","","","","","","","","",""
"412","","f","psychophysics","157","110506","0.0-4.0-1.47","response","F","true","key","f","16.681879999999655","500","400","Blue","Blue","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","158","111015","0.0-4.0-2.47","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","159","111529","0.0-4.0-0.48","fixation","","","","","","","","","","",""
"342","","f","psychophysics","160","112391","0.0-4.0-1.48","response","F","true","key","f","16.684300000000075","500","400","Blue","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","161","112896","0.0-4.0-2.48","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","162","113407","0.0-4.0-0.49","fixation","","","","","","","","","","",""
"367","","f","psychophysics","163","114299","0.0-4.0-1.49","response","F","true","key","f","16.68604545454516","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","164","114802","0.0-4.0-2.49","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","165","115310","0.0-4.0-0.50","fixation","","","","","","","","","","",""
"343","","f","psychophysics","166","116168","0.0-4.0-1.50","response","F","true","key","f","16.686333333333355","500","400","Blue","Blue","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","167","116676","0.0-4.0-2.50","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","168","117188","0.0-4.0-0.51","fixation","","","","","","","","","","",""
"391","","j","psychophysics","169","118098","0.0-4.0-1.51","response","J","true","key","j","16.68069565217403","500","400","Red","Red","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","170","118602","0.0-4.0-2.51","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","171","119112","0.0-4.0-0.52","fixation","","","","","","","","","","",""
"440","","f","psychophysics","172","120065","0.0-4.0-1.52","response","F","true","key","f","16.682153846153458","500","400","Blue","Blue","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","173","120578","0.0-4.0-2.52","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","174","121089","0.0-4.0-0.53","fixation","","","","","","","","","","",""
"408","","f","psychophysics","175","122017","0.0-4.0-1.53","response","J","false","key","f","16.681333333333896","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","176","122525","0.0-4.0-2.53","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","177","123039","0.0-4.0-0.54","fixation","","","","","","","","","","",""
"403","","f","psychophysics","178","123954","0.0-4.0-1.54","response","F","true","key","f","16.682749999999942","500","400","Blue","Blue","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","179","124462","0.0-4.0-2.54","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","180","124971","0.0-4.0-0.55","fixation","","","","","","","","","","",""
"362","","f","psychophysics","181","125847","0.0-4.0-1.55","response","F","true","key","f","16.68109090909076","500","400","Blue","Red","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","182","126361","0.0-4.0-2.55","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","183","126871","0.0-4.0-0.56","fixation","","","","","","","","","","",""
"392","","j","psychophysics","184","127782","0.0-4.0-1.56","response","J","true","key","j","16.700666666666923","500","400","Red","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","185","128297","0.0-4.0-2.56","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","186","128805","0.0-4.0-0.57","fixation","","","","","","","","","","",""
"549","","f","psychophysics","187","129869","0.0-4.0-1.57","response","F","true","key","f","16.68224242424273","500","400","Blue","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","188","130387","0.0-4.0-2.57","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","189","130898","0.0-4.0-0.58","fixation","","","","","","","","","","",""
"580","","f","psychophysics","190","131994","0.0-4.0-1.58","response","F","true","key","f","16.686057142856797","500","400","Blue","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","191","132508","0.0-4.0-2.58","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","192","133015","0.0-4.0-0.59","fixation","","","","","","","","","","",""
"361","","f","psychophysics","193","133898","0.0-4.0-1.59","response","F","true","key","f","16.686523809524562","500","400","Blue","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","194","134407","0.0-4.0-2.59","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","195","134919","0.0-4.0-0.60","fixation","","","","","","","","","","",""
"348","","f","psychophysics","196","135779","0.0-4.0-1.60","response","F","true","key","f","16.686714285714384","500","400","Blue","Blue","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","197","136291","0.0-4.0-2.60","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","198","136799","0.0-4.0-0.61","fixation","","","","","","","","","","",""
"435","","j","psychophysics","199","137757","0.0-4.0-1.61","response","J","true","key","j","16.68938461538458","500","400","Red","Blue","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","200","138271","0.0-4.0-2.61","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","201","138780","0.0-4.0-0.62","fixation","","","","","","","","","","",""
"347","","j","psychophysics","202","139640","0.0-4.0-1.62","response","J","true","key","j","16.68489999999874","500","400","Red","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","203","140144","0.0-4.0-2.62","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","204","140657","0.0-4.0-0.63","fixation","","","","","","","","","","",""
"359","","f","psychophysics","205","141551","0.0-4.0-1.63","response","F","true","key","f","16.69313636363685","500","400","Blue","Blue","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","206","142067","0.0-4.0-2.63","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","207","142577","0.0-4.0-0.64","fixation","","","","","","","","","","",""
"302","","f","psychophysics","208","143399","0.0-4.0-1.64","response","F","true","key","f","16.69399999999991","500","400","Blue","Red","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","209","143901","0.0-4.0-2.64","","","","","","","","","","","",""
