"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","is_soa","correct_response","is_correct","reaction_time"
"","","","","","","","","","","","html-keyboard-response","103","122958","0.0-5.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","104","123976","0.0-5.0-1.17","501","","b","response","key","b","16.661633333332915","500","400","Blue","Blue","true","0","false","B","true","501"
"","","","","","","","","","","","html-keyboard-response","105","124492","0.0-5.0-2.17","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","106","125000","0.0-5.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","107","126261","0.0-5.0-1.18","710","","g","response","key","g","16.664883720930153","500","400","Green","Green","true","200","true","G","true","510"
"","","","","","","","","","","","html-keyboard-response","108","126770","0.0-5.0-2.18","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","109","127284","0.0-5.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","110","128496","0.0-5.0-1.19","699","","g","response","key","g","16.662428571428574","500","400","Green","Green","true","200","true","G","true","499"
"","","","","","","","","","","","html-keyboard-response","111","128999","0.0-5.0-2.19","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","112","129515","0.0-5.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","113","130659","0.0-5.0-1.20","635","","r","response","key","r","16.661552631579596","500","400","Red","Red","true","200","true","R","true","435"
"","","","","","","","","","","","html-keyboard-response","114","131168","0.0-5.0-2.20","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","115","131681","0.0-5.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","116","132757","0.0-5.0-1.21","570","","y","response","key","y","16.66202941176444","500","400","Yellow","Yellow","true","0","false","Y","true","570"
"","","","","","","","","","","","html-keyboard-response","117","133269","0.0-5.0-2.21","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","118","133773","0.0-5.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","119","135001","0.0-5.0-1.22","696","","b","response","key","b","16.662674418604542","500","400","Blue","Blue","true","0","false","B","true","696"
"","","","","","","","","","","","html-keyboard-response","120","135506","0.0-5.0-2.22","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","121","136019","0.0-5.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","122","137093","0.0-5.0-1.23","561","","y","response","key","y","17.158909090909276","500","400","Yellow","Yellow","true","0","false","Y","true","561"
"","","","","","","","","","","","html-keyboard-response","123","137598","0.0-5.0-2.23","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","124","138102","0.0-5.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","125","139336","0.0-5.0-1.24","716","","r","response","key","r","16.665116279069903","500","400","Red","Red","true","200","true","R","true","516"
"","","","","","","","","","","","html-keyboard-response","126","139850","0.0-5.0-2.24","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","127","140359","0.0-5.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","128","141602","0.0-5.0-1.25","718","","r","response","key","r","16.66163636363622","500","400","Red","Red","true","200","true","R","true","518"
"","","","","","","","","","","","html-keyboard-response","129","142105","0.0-5.0-2.25","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","130","142610","0.0-5.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","131","143569","0.0-5.0-1.26","438","","r","response","key","r","16.667074074074023","500","400","Red","Red","true","0","false","R","true","438"
