"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","33","43205","0.0-5.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","43708","0.0-5.0-0.2","","fixation","","","","","","","","","",""
"826","","g","psychophysics","35","45043","0.0-5.0-1.2","","response","G","true","key","g","16.683959183673526","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","36","45545","0.0-5.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","46047","0.0-5.0-0.3","","fixation","","","","","","","","","",""
"536","","r","psychophysics","38","47118","0.0-5.0-1.3","","response","R","true","key","r","17.18296969696971","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","39","47619","0.0-5.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","48123","0.0-5.0-0.4","","fixation","","","","","","","","","",""
"611","","y","psychophysics","41","49264","0.0-5.0-1.4","","response","Y","true","key","y","16.68315789473682","500","400","Yellow","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","42","49766","0.0-5.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","50268","0.0-5.0-0.5","","fixation","","","","","","","","","",""
"570","","g","psychophysics","44","51356","0.0-5.0-1.5","","response","G","true","key","g","16.68391428571423","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","45","51857","0.0-5.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","52359","0.0-5.0-0.6","","fixation","","","","","","","","","",""
"552","","r","psychophysics","47","53422","0.0-5.0-1.6","","response","R","true","key","r","16.698588235294128","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","48","53924","0.0-5.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","54425","0.0-5.0-0.7","","fixation","","","","","","","","","",""
"555","","y","psychophysics","50","55508","0.0-5.0-1.7","","response","Y","true","key","y","16.685114285714267","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","51","56009","0.0-5.0-2.7","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","56511","0.0-5.0-0.8","","fixation","","","","","","","","","",""
"736","","r","psychophysics","53","57777","0.0-5.0-1.8","","response","R","true","key","r","16.694266666666632","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","54","58281","0.0-5.0-2.8","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","58782","0.0-5.0-0.9","","fixation","","","","","","","","","",""
"381","","b","psychophysics","56","59692","0.0-5.0-1.9","","response","B","true","key","b","17.374208333333627","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","57","60200","0.0-5.0-2.9","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","60702","0.0-5.0-0.10","","fixation","","","","","","","","","",""
"573","","g","psychophysics","59","61780","0.0-5.0-1.10","","response","G","true","key","g","16.653606060606155","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","60","62284","0.0-5.0-2.10","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","62786","0.0-5.0-0.11","","fixation","","","","","","","","","",""
"673","","r","psychophysics","62","63967","0.0-5.0-1.11","","response","R","true","key","r","16.693124999999963","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","63","64470","0.0-5.0-2.11","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","64972","0.0-5.0-0.12","","fixation","","","","","","","","","",""
"634","","r","psychophysics","65","66117","0.0-5.0-1.12","","response","R","true","key","r","17.132054054054016","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","66","66620","0.0-5.0-2.12","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","67122","0.0-5.0-0.13","","fixation","","","","","","","","","",""
"695","","g","psychophysics","68","68349","0.0-5.0-1.13","","response","G","true","key","g","17.069116279069974","500","400","Green","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","69","68854","0.0-5.0-2.13","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","69366","0.0-5.0-0.14","","fixation","","","","","","","","","",""
"798","","r","psychophysics","71","70674","0.0-5.0-1.14","","response","B","false","key","r","16.68668749999991","500","400","Blue","Red","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","72","71182","0.0-5.0-2.14","","","","","","","","","","","",""
